No.,チャンネル,動画番号,動画ID,台本番号,タイトル,進捗,作成フラグ,台本,品質チェック結果,文字数,更新日時,サムネタイトル上,サムネタイトル下,サムネ画像プロンプト（URL・テキスト指示込み）,企画意図,ターゲット層,具体的な内容（話の構成案）,DALL-Eプロンプト（URL・テキスト指示込み）,台本本文（冒頭サンプル）,音声整形,音声検証,音声生成,音声品質,納品,サムネタイトル,AI向け画像生成プロンプト (背景用),テキスト配置・デザイン指示 (人間/ツール向け),サムネ用DALL-Eプロンプト（URL・テキスト指示込み）,内容,動画内挿絵AI向けプロンプト（10個）,内容（企画要約）,台本パス,GPT用プロンプト（日本人シニア女性）,台本本文,GPT用プロンプト（日本人シニア女性）_1,悩みタグ_メイン,悩みタグ_サブ,ライフシーン,キーコンセプト,ベネフィット一言,たとえ話イメージ,説明文_リード,説明文_この動画でわかること,台本型
1,CH02,1,CH02-001,CH02-001,【絶望】努力は必ず報われる、という嘘に気づいた時,投稿済み,1.0,workspaces/scripts/CH02/001/content/assembled.md,✅完了,6597,2025-12-17T13:50:31.356737Z,,,,,頭の中がいつも騒がしく、自己理解や人間関係に悩む30〜50代。哲学や心理学で心を整理し、静かな感情の置き場を探している人。,「努力すれば報われる」という社会通念に疑問を投げかける15分動画の台本を作成。導入では就活や受験で頑張ったのに結果が出なかった具体例から始め、ショーペンハウアーの「意志と表象」を引用して努力の本質について哲学的に分析。最終的には努力の真の意味を再定義する希望的メッセージで締める。,,,済 2025-11-05,完了 Δ0.3ms tol=50ms 2025-11-05,完了 2025-11-05,完了 (forced) 2025-12-17,完了 2025-10-27,努力は嘘だった,,,,,,,workspaces/scripts/CH02/001/content/assembled.md,,,,思考疲れ,孤独,深夜のベッド,ストア派,頭の中を静かにできる,雑念を箱に入れる,考えすぎて眠れない夜に、心を整える哲学の視点を届けます。,"・怒りが湧いた瞬間の対処法
・感情を言語化する3ステップ",kata1
2,CH02,2,CH02-002,CH02-002,静寂の哲学,投稿済み,1.0,workspaces/scripts/CH02/002/content/assembled.md,✅完了,8373,2025-12-17T13:50:34.466905Z,,,,,頭の中がいつも騒がしく、自己理解や人間関係に悩む30〜50代。哲学や心理学で心を整理し、静かな感情の置き場を探している人。,恋愛における「愛されたい」という欲求のパラドックスについて論じる台本。冒頭で「なぜ好きになった瞬間に相手は離れていくのか」という問いから始め、ラカンの精神分析理論とショーペンハウアーの恋愛観を現代の恋愛事例に適用して解説。自立した愛の形を提示する。,,,済 2025-11-03,完了 Δ0.3ms tol=50ms 2025-11-03,完了 2025-11-03,完了 (forced) 2025-12-17,投稿済み 2025-12-17,愛されたい欲求が愛を殺す,,,,,,,workspaces/scripts/CH02/002/content/assembled.md,,,,思考疲れ,孤独,深夜のベッド,ストア派,頭の中を静かにできる,雑念を箱に入れる,考えすぎて眠れない夜に、心を整える哲学の視点を届けます。,"・怒りが湧いた瞬間の対処法
・感情を言語化する3ステップ",kata3
3,CH02,3,CH02-003,CH02-003,【孤独の設計】ひとり時間を“最高の兵器”にする,投稿済み,1.0,workspaces/scripts/CH02/003/content/assembled.md,✅完了,7672,2025-12-17T13:50:37.246690Z,,,,,頭の中がいつも騒がしく、自己理解や人間関係に悩む30〜50代。哲学や心理学で心を整理し、静かな感情の置き場を探している人。,現代人の「忙しさ」を哲学的に分析する台本。ハイデガーの「存在と時間」とパスカルの「人間は考える葦である」を引用し、なぜ人は忙しさを好むのか、それが自己との対峙からの逃避であることを論証。真の充実とは何かを問う。,,,済 2025-11-03,完了 Δ0.3ms tol=50ms 2025-11-03,完了 2025-11-03,完了 (forced) 2025-12-17,投稿済み 2025-12-17,忙しさは逃避だった,,,,,,,workspaces/scripts/CH02/003/content/assembled.md,,,,思考疲れ,孤独,深夜のベッド,ストア派,頭の中を静かにできる,雑念を箱に入れる,考えすぎて眠れない夜に、心を整える哲学の視点を届けます。,"・怒りが湧いた瞬間の対処法
・感情を言語化する3ステップ",kata3
4,CH02,4,CH02-004,CH02-004,【人生哲学】「正解」に囚われすぎて「自分」を見失う現代人の悲哀,投稿済み,1.0,workspaces/scripts/CH02/004/content/assembled.md,✅完了,7679,2025-12-17T13:50:39.400867Z,,,,,頭の中がいつも騒がしく、自己理解や人間関係に悩む30〜50代。哲学や心理学で心を整理し、静かな感情の置き場を探している人。,SNS上の幸せアピールの心理学を分析する台本。ボードリヤールの「シミュラークル」理論とフロムの「愛するということ」を用いて、承認欲求と真の幸福の違いを解説。デジタル時代の人間関係の本質に迫る15分構成。,,,済,完了 (forced) 2025-12-17,完了 2025-11-03,完了 (forced) 2025-12-17,投稿済み 2025-12-17,幸せアピールの裏の絶望,,,,,,,workspaces/scripts/CH02/004/content/assembled.md,,,,思考疲れ,孤独,深夜のベッド,ストア派,頭の中を静かにできる,雑念を箱に入れる,考えすぎて眠れない夜に、心を整える哲学の視点を届けます。,"・怒りが湧いた瞬間の対処法
・感情を言語化する3ステップ",kata2
5,CH02,5,CH02-005,CH02-005,【人間関係】「嫌われる勇気」ではなく「嫌われていい勇気」を持つべきである,投稿済み,1.0,workspaces/scripts/CH02/005/content/assembled.md,✅完了,7875,2025-12-17T13:50:40.521388Z,,,,,頭の中がいつも騒がしく、自己理解や人間関係に悩む30〜50代。哲学や心理学で心を整理し、静かな感情の置き場を探している人。,現代の労働に対する虚無感をカミュの「不条理」とニーチェの「永劫回帰」で分析する台本。「なぜ働くのか」という根本的な問いから始め、労働の意味を哲学的に再構築。最終的には自分だけの価値を見つける道筋を示す。,,,済 2025-11-03,完了 Δ0.3ms tol=50ms 2025-11-03,完了 2025-11-03,完了 (forced) 2025-12-17,投稿済み 2025-12-17,仕事の意味を失った時,,,,,,,workspaces/scripts/CH02/005/content/assembled.md,,,,思考疲れ,孤独,深夜のベッド,ストア派,頭の中を静かにできる,雑念を箱に入れる,考えすぎて眠れない夜に、心を整える哲学の視点を届けます。,"・怒りが湧いた瞬間の対処法
・感情を言語化する3ステップ",kata3
6,CH02,6,CH02-006,CH02-006,【人間関係】なぜ「いい人」ほど孤独になるのか―善意という名の監獄,投稿済み,1.0,workspaces/scripts/CH02/006/content/assembled.md,✅完了,7487,2025-12-17T13:50:41.536041Z,,,,,頭の中がいつも騒がしく、自己理解や人間関係に悩む30〜50代。哲学や心理学で心を整理し、静かな感情の置き場を探している人。,「いい人」であることの心理的コストをサルトルの「実存主義とは何か」とアドラー心理学で分析。他者の期待に応えることで失う自己同一性について論じ、真の優しさと偽りの善意の違いを明確化する構成。,,,済 2025-11-03,完了 Δ0.0ms tol=50ms 2025-11-03,完了 2025-11-03,完了 (forced) 2025-12-17,投稿済み 2025-12-17,善意が作る孤独の檻,,,,,,,workspaces/scripts/CH02/006/content/assembled.md,,,,思考疲れ,孤独,深夜のベッド,ストア派,頭の中を静かにできる,雑念を箱に入れる,考えすぎて眠れない夜に、心を整える哲学の視点を届けます。,"・怒りが湧いた瞬間の対処法
・感情を言語化する3ステップ",kata3
7,CH02,7,CH02-007,CH02-007,【死生観】死を恐れる人ほど生きていない―ハイデガーが見抜いた現代の病理,投稿済み,,workspaces/scripts/CH02/007/content/assembled.md,✅完了,8425,2025-12-17T13:50:44.108584Z,,,,,頭の中がいつも騒がしく、自己理解や人間関係に悩む30〜50代。哲学や心理学で心を整理し、静かな感情の置き場を探している人。,ハイデガーの「存在と時間」における「死への存在」を現代人の生き方に適用した台本。死の不安が如何に人生を制約しているかを分析し、死を受容することで得られる自由について論じる深い内容の18分構成。,,,済 2025-11-03,完了 Δ0.0ms tol=50ms 2025-11-03,完了 2025-11-03,完了 (forced) 2025-12-17,投稿済み 2025-12-17,死の恐怖が人生を殺す,,,,,,,workspaces/scripts/CH02/007/content/assembled.md,,,,思考疲れ,孤独,深夜のベッド,ストア派,頭の中を静かにできる,雑念を箱に入れる,考えすぎて眠れない夜に、心を整える哲学の視点を届けます。,"・怒りが湧いた瞬間の対処法
・感情を言語化する3ステップ",kata3
8,CH02,8,CH02-008,CH02-008,【心理学】なぜ人は「自分だけは特別」だと思いたがるのか―選民思想の罠,投稿済み,,workspaces/scripts/CH02/008/content/assembled.md,✅完了,7591,2025-12-17T13:50:46.984532Z,,,,,頭の中がいつも騒がしく、自己理解や人間関係に悩む30〜50代。哲学や心理学で心を整理し、静かな感情の置き場を探している人。,ナルシシズムと自己愛性について、フロイトの精神分析とユングの個性化理論を用いて分析。なぜ現代人は承認欲求に支配されるのか、真の個性とは何かを15分で論じる。SNS時代の自己愛病理に焦点。,,,済,完了 (forced) 2025-12-17,生成中 0/1,完了 (forced) 2025-12-17,投稿済み 2025-12-17,特別でありたい願望の罠,,,,,,,workspaces/scripts/CH02/008/content/assembled.md,,,,思考疲れ,孤独,深夜のベッド,ストア派,頭の中を静かにできる,雑念を箱に入れる,考えすぎて眠れない夜に、心を整える哲学の視点を届けます。,"・怒りが湧いた瞬間の対処法
・感情を言語化する3ステップ",kata1
9,CH02,9,CH02-009,CH02-009,【絶望哲学】希望を捨てた時に見える、本当の現実,投稿済み,,workspaces/scripts/CH02/009/content/assembled.md,✅完了,7588,2025-12-17T13:50:49.037774Z,,,,,頭の中がいつも騒がしく、自己理解や人間関係に悩む30〜50代。哲学や心理学で心を整理し、静かな感情の置き場を探している人。,シオランの悲観主義とブッダの四諦を組み合わせ、希望という執着を手放すことの解放感について論じる台本。絶望の底にある真の平安について、現代的な事例を交えながら16分で構成。,,,済,完了 (forced) 2025-12-17,待機中,完了 (forced) 2025-12-17,投稿済み 2025-12-17,希望を捨てると見える真実,,,,,,,workspaces/scripts/CH02/009/content/assembled.md,,,,思考疲れ,孤独,深夜のベッド,ストア派,頭の中を静かにできる,雑念を箱に入れる,考えすぎて眠れない夜に、心を整える哲学の視点を届けます。,"・怒りが湧いた瞬間の対処法
・感情を言語化する3ステップ",kata2
10,CH02,10,CH02-010,CH02-010,【警告】「自分らしく生きる」という最大の嘘―真の自由とは何か,投稿済み,,workspaces/scripts/CH02/010/content/assembled.md,✅完了,7506,2025-12-17T22:13:37.172053Z,,,,,頭の中がいつも騒がしく、自己理解や人間関係に悩む30〜50代。哲学や心理学で心を整理し、静かな感情の置き場を探している人。,「自分らしさ」という現代的価値観をフーコーの権力論とサルトルの自由論で批判的に分析。真の自由とは何か、社会によって作られた「個性」の概念について15分で深掘り。最後は本当の自立への道筋を示す。,,,済,完了 (forced) 2025-12-17,待機中,完了 (forced) 2025-12-17,投稿済み 2025-12-17,自分らしさという幻想,,,,,,,workspaces/scripts/CH02/010/content/assembled.md,,,,思考疲れ,孤独,深夜のベッド,ストア派,頭の中を静かにできる,雑念を箱に入れる,考えすぎて眠れない夜に、心を整える哲学の視点を届けます。,"・怒りが湧いた瞬間の対処法
・感情を言語化する3ステップ",kata2
