No.,チャンネル,動画番号,動画ID,台本番号,タイトル,進捗,作成フラグ,台本,品質チェック結果,文字数,更新日時,サムネタイトル上,サムネタイトル下,サムネ画像プロンプト（URL・テキスト指示込み）,企画意図,ターゲット層,具体的な内容（話の構成案）,DALL-Eプロンプト（URL・テキスト指示込み）,台本本文（冒頭サンプル）,音声整形,音声検証,音声生成,音声品質,納品,サムネタイトル,AI向け画像生成プロンプト (背景用),テキスト配置・デザイン指示 (人間/ツール向け),サムネ用DALL-Eプロンプト（URL・テキスト指示込み）,内容,動画内挿絵AI向けプロンプト（10個）,内容（企画要約）,台本パス,GPT用プロンプト（日本人シニア女性）,台本本文,GPT用プロンプト（日本人シニア女性）_1,悩みタグ_メイン,悩みタグ_サブ,ライフシーン,キーコンセプト,ベネフィット一言,たとえ話イメージ,説明文_リード,説明文_この動画でわかること
1,CH18,001,CH18-001,CH18-001,山寺の鐘が鳴る夜｜静かな約束の伝説,topic_research: pending,,workspaces/scripts/CH18/001/content/assembled.md,未完了,,2025-12-23 23:43:33,山寺の鐘,静かな約束,,寺の伝説を旅の物語として静かに語る夜話。 「山寺の鐘」を入口に、静かに眠れる方向へ静かに運びます。最後は 鐘の余韻を想像して息を吐く を一手だけ残して、安心で終えます。,20〜60代中心。お寺の由来や伝説を聞きながら、静かに寝落ちしたい人。,"導入: 山寺の参道の空気で今夜の物語を始める。
物語: ゆっくり進行→場面の区切りを作りながら語る。
余韻: 伝説を一言だけ添える（押しつけない）。
今夜の一手: 鐘の余韻を想像して息を吐く
締め: 静かにおやすみへ。",,,,,,,,山寺の鐘 静かな約束,"16:9, high resolution, calm night mood, Japanese temple path, lantern light, minimal composition, subtle watercolor texture, clean lineart, soft shading, left 35% empty space for text, top 15% and bottom 25% clean background, no text, no logo, no watermark. SCENE: Mountain temple path at night, lanterns, bell tower, minimal, empty left space. NEGATIVE: text, logo, watermark, signature, speech bubble, lowres, blur, noise.",左35%を余白（文字エリア）。上15%/下25%は重要物なし。上段: Noto Sans JP Black／下段: BIZ UDPゴシック Bold。白文字＋黒影。,,"導入: 山寺の参道の空気で今夜の物語を始める。
物語: ゆっくり進行→場面の区切りを作りながら語る。
余韻: 伝説を一言だけ添える（押しつけない）。
今夜の一手: 鐘の余韻を想像して息を吐く
締め: 静かにおやすみへ。",,山寺の鐘が鳴る夜｜静かな約束の伝説,workspaces/scripts/CH18/001/content/assembled.md,,,,不安,眠れない,山寺の参道,伝説,静かに眠れる,鐘,眠れない夜に、静かな旅の物語を。,・伝説の背景をやさしく<br>・今夜の受け取り方
2,CH18,002,CH18-002,CH18-002,海辺の観音さま｜灯台の光と祈りの話,topic_research: pending,,workspaces/scripts/CH18/002/content/assembled.md,未完了,,2025-12-23 23:43:33,海辺の観音,灯台の光,,寺の伝説を旅の物語として静かに語る夜話。 「海辺の観音」を入口に、落ち着く方向へ静かに運びます。最後は 波の音を思い出して吐く を一手だけ残して、安心で終えます。,20〜60代中心。お寺の由来や伝説を聞きながら、静かに寝落ちしたい人。,"導入: 海辺の寺の空気で今夜の物語を始める。
物語: ゆっくり進行→場面の区切りを作りながら語る。
余韻: 祈りを一言だけ添える（押しつけない）。
今夜の一手: 波の音を思い出して吐く
締め: 静かにおやすみへ。",,,,,,,,海辺の観音 灯台の光,"16:9, high resolution, calm night mood, Japanese temple path, lantern light, minimal composition, subtle watercolor texture, clean lineart, soft shading, left 35% empty space for text, top 15% and bottom 25% clean background, no text, no logo, no watermark. SCENE: Seaside temple at night, lighthouse glow, calm waves, empty left space. NEGATIVE: text, logo, watermark, signature, speech bubble, lowres, blur, noise.",左35%を余白（文字エリア）。上15%/下25%は重要物なし。上段: Noto Sans JP Black／下段: BIZ UDPゴシック Bold。白文字＋黒影。,,"導入: 海辺の寺の空気で今夜の物語を始める。
物語: ゆっくり進行→場面の区切りを作りながら語る。
余韻: 祈りを一言だけ添える（押しつけない）。
今夜の一手: 波の音を思い出して吐く
締め: 静かにおやすみへ。",,海辺の観音さま｜灯台の光と祈りの話,workspaces/scripts/CH18/002/content/assembled.md,,,,不安,心配,海辺の寺,祈り,落ち着く,灯台,眠れない夜に、静かな旅の物語を。,・伝説の背景をやさしく<br>・今夜の受け取り方
3,CH18,003,CH18-003,CH18-003,雪の地蔵の由来｜温かい道の物語,topic_research: pending,,workspaces/scripts/CH18/003/content/assembled.md,未完了,,2025-12-23 23:43:33,雪の地蔵,温かい道,,寺の伝説を旅の物語として静かに語る夜話。 「雪の地蔵」を入口に、ほっとする方向へ静かに運びます。最後は 肩の力を抜く を一手だけ残して、安心で終えます。,20〜60代中心。お寺の由来や伝説を聞きながら、静かに寝落ちしたい人。,"導入: 雪の参道の空気で今夜の物語を始める。
物語: ゆっくり進行→場面の区切りを作りながら語る。
余韻: やさしさを一言だけ添える（押しつけない）。
今夜の一手: 肩の力を抜く
締め: 静かにおやすみへ。",,,,,,,,雪の地蔵 温かい道,"16:9, high resolution, calm night mood, Japanese temple path, lantern light, minimal composition, subtle watercolor texture, clean lineart, soft shading, left 35% empty space for text, top 15% and bottom 25% clean background, no text, no logo, no watermark. SCENE: Snowy temple path, gentle lantern light, minimal, empty left space. NEGATIVE: text, logo, watermark, signature, speech bubble, lowres, blur, noise.",左35%を余白（文字エリア）。上15%/下25%は重要物なし。上段: Noto Sans JP Black／下段: BIZ UDPゴシック Bold。白文字＋黒影。,,"導入: 雪の参道の空気で今夜の物語を始める。
物語: ゆっくり進行→場面の区切りを作りながら語る。
余韻: やさしさを一言だけ添える（押しつけない）。
今夜の一手: 肩の力を抜く
締め: 静かにおやすみへ。",,雪の地蔵の由来｜温かい道の物語,workspaces/scripts/CH18/003/content/assembled.md,,,,孤独,寂しさ,雪の参道,やさしさ,ほっとする,雪灯り,眠れない夜に、静かな旅の物語を。,・伝説の背景をやさしく<br>・今夜の受け取り方
4,CH18,004,CH18-004,CH18-004,空海が見た海の夜｜旅に出る心の整え方,topic_research: pending,,workspaces/scripts/CH18/004/content/assembled.md,未完了,,2025-12-23 23:43:33,空海の旅,海の夜,,寺の伝説を旅の物語として静かに語る夜話。 「空海の旅」を入口に、ゆるむ方向へ静かに運びます。最後は 波のリズムで呼吸する を一手だけ残して、安心で終えます。,20〜60代中心。お寺の由来や伝説を聞きながら、静かに寝落ちしたい人。,"導入: 海の夜の空気で今夜の物語を始める。
物語: ゆっくり進行→場面の区切りを作りながら語る。
余韻: 旅を一言だけ添える（押しつけない）。
今夜の一手: 波のリズムで呼吸する
締め: 静かにおやすみへ。",,,,,,,,空海の旅 海の夜,"16:9, high resolution, calm night mood, Japanese temple path, lantern light, minimal composition, subtle watercolor texture, clean lineart, soft shading, left 35% empty space for text, top 15% and bottom 25% clean background, no text, no logo, no watermark. SCENE: Night sea, small boat silhouette, calm, minimal, empty left space. NEGATIVE: text, logo, watermark, signature, speech bubble, lowres, blur, noise.",左35%を余白（文字エリア）。上15%/下25%は重要物なし。上段: Noto Sans JP Black／下段: BIZ UDPゴシック Bold。白文字＋黒影。,,"導入: 海の夜の空気で今夜の物語を始める。
物語: ゆっくり進行→場面の区切りを作りながら語る。
余韻: 旅を一言だけ添える（押しつけない）。
今夜の一手: 波のリズムで呼吸する
締め: 静かにおやすみへ。",,空海が見た海の夜｜旅に出る心の整え方,workspaces/scripts/CH18/004/content/assembled.md,,,,疲れ,迷い,海の夜,旅,ゆるむ,波,眠れない夜に、静かな旅の物語を。,・伝説の背景をやさしく<br>・今夜の受け取り方
5,CH18,005,CH18-005,CH18-005,最澄の比叡山｜風の音と一つの誓い,topic_research: pending,,workspaces/scripts/CH18/005/content/assembled.md,未完了,,2025-12-23 23:43:33,比叡山,風の誓い,,寺の伝説を旅の物語として静かに語る夜話。 「比叡山」を入口に、落ち着く方向へ静かに運びます。最後は 今日の誓いを一言にする を一手だけ残して、安心で終えます。,20〜60代中心。お寺の由来や伝説を聞きながら、静かに寝落ちしたい人。,"導入: 山の寺の空気で今夜の物語を始める。
物語: ゆっくり進行→場面の区切りを作りながら語る。
余韻: 誓いを一言だけ添える（押しつけない）。
今夜の一手: 今日の誓いを一言にする
締め: 静かにおやすみへ。",,,,,,,,比叡山 風の誓い,"16:9, high resolution, calm night mood, Japanese temple path, lantern light, minimal composition, subtle watercolor texture, clean lineart, soft shading, left 35% empty space for text, top 15% and bottom 25% clean background, no text, no logo, no watermark. SCENE: Mountain temple, wind through trees, night, minimal, empty left space. NEGATIVE: text, logo, watermark, signature, speech bubble, lowres, blur, noise.",左35%を余白（文字エリア）。上15%/下25%は重要物なし。上段: Noto Sans JP Black／下段: BIZ UDPゴシック Bold。白文字＋黒影。,,"導入: 山の寺の空気で今夜の物語を始める。
物語: ゆっくり進行→場面の区切りを作りながら語る。
余韻: 誓いを一言だけ添える（押しつけない）。
今夜の一手: 今日の誓いを一言にする
締め: 静かにおやすみへ。",,最澄の比叡山｜風の音と一つの誓い,workspaces/scripts/CH18/005/content/assembled.md,,,,不安,焦り,山の寺,誓い,落ち着く,風,眠れない夜に、静かな旅の物語を。,・伝説の背景をやさしく<br>・今夜の受け取り方
6,CH18,006,CH18-006,CH18-006,道元の山寺｜ただ坐る、静かな夜,topic_research: pending,,workspaces/scripts/CH18/006/content/assembled.md,未完了,,2025-12-23 23:43:33,ただ坐る,静かな夜,,寺の伝説を旅の物語として静かに語る夜話。 「ただ坐る」を入口に、落ち着く方向へ静かに運びます。最後は 背筋をそっと伸ばす を一手だけ残して、安心で終えます。,20〜60代中心。お寺の由来や伝説を聞きながら、静かに寝落ちしたい人。,"導入: 禅寺の畳の空気で今夜の物語を始める。
物語: ゆっくり進行→場面の区切りを作りながら語る。
余韻: 坐禅を一言だけ添える（押しつけない）。
今夜の一手: 背筋をそっと伸ばす
締め: 静かにおやすみへ。",,,,,,,,ただ坐る 静かな夜,"16:9, high resolution, calm night mood, Japanese temple path, lantern light, minimal composition, subtle watercolor texture, clean lineart, soft shading, left 35% empty space for text, top 15% and bottom 25% clean background, no text, no logo, no watermark. SCENE: Zen temple tatami room, dim candle, minimal, empty left space. NEGATIVE: text, logo, watermark, signature, speech bubble, lowres, blur, noise.",左35%を余白（文字エリア）。上15%/下25%は重要物なし。上段: Noto Sans JP Black／下段: BIZ UDPゴシック Bold。白文字＋黒影。,,"導入: 禅寺の畳の空気で今夜の物語を始める。
物語: ゆっくり進行→場面の区切りを作りながら語る。
余韻: 坐禅を一言だけ添える（押しつけない）。
今夜の一手: 背筋をそっと伸ばす
締め: 静かにおやすみへ。",,道元の山寺｜ただ坐る、静かな夜,workspaces/scripts/CH18/006/content/assembled.md,,,,考えすぎ,頭が冴える,禅寺の畳,坐禅,落ち着く,畳,眠れない夜に、静かな旅の物語を。,・伝説の背景をやさしく<br>・今夜の受け取り方
7,CH18,007,CH18-007,CH18-007,一休の屏風の虎｜笑いがほどく心,topic_research: pending,,workspaces/scripts/CH18/007/content/assembled.md,未完了,,2025-12-23 23:43:33,一休の話,笑いでほどく,,寺の伝説を旅の物語として静かに語る夜話。 「一休の話」を入口に、ほっとする方向へ静かに運びます。最後は 口角を少し上げる を一手だけ残して、安心で終えます。,20〜60代中心。お寺の由来や伝説を聞きながら、静かに寝落ちしたい人。,"導入: 寺の書院の空気で今夜の物語を始める。
物語: ゆっくり進行→場面の区切りを作りながら語る。
余韻: ほどけるを一言だけ添える（押しつけない）。
今夜の一手: 口角を少し上げる
締め: 静かにおやすみへ。",,,,,,,,一休の話 笑いでほどく,"16:9, high resolution, calm night mood, Japanese temple path, lantern light, minimal composition, subtle watercolor texture, clean lineart, soft shading, left 35% empty space for text, top 15% and bottom 25% clean background, no text, no logo, no watermark. SCENE: Temple study room, ink brush, soft lamp, minimal, empty left space. NEGATIVE: text, logo, watermark, signature, speech bubble, lowres, blur, noise.",左35%を余白（文字エリア）。上15%/下25%は重要物なし。上段: Noto Sans JP Black／下段: BIZ UDPゴシック Bold。白文字＋黒影。,,"導入: 寺の書院の空気で今夜の物語を始める。
物語: ゆっくり進行→場面の区切りを作りながら語る。
余韻: ほどけるを一言だけ添える（押しつけない）。
今夜の一手: 口角を少し上げる
締め: 静かにおやすみへ。",,一休の屏風の虎｜笑いがほどく心,workspaces/scripts/CH18/007/content/assembled.md,,,,ストレス,緊張,寺の書院,ほどける,ほっとする,墨,眠れない夜に、静かな旅の物語を。,・伝説の背景をやさしく<br>・今夜の受け取り方
8,CH18,008,CH18-008,CH18-008,親鸞の雨の宿｜弱さを抱える物語,topic_research: pending,,workspaces/scripts/CH18/008/content/assembled.md,未完了,,2025-12-23 23:43:33,雨の宿,弱さを抱く,,寺の伝説を旅の物語として静かに語る夜話。 「雨の宿」を入口に、やわらぐ方向へ静かに運びます。最後は 『今日はここまで』と言う を一手だけ残して、安心で終えます。,20〜60代中心。お寺の由来や伝説を聞きながら、静かに寝落ちしたい人。,"導入: 雨の夜道の空気で今夜の物語を始める。
物語: ゆっくり進行→場面の区切りを作りながら語る。
余韻: 受容を一言だけ添える（押しつけない）。
今夜の一手: 『今日はここまで』と言う
締め: 静かにおやすみへ。",,,,,,,,雨の宿 弱さを抱く,"16:9, high resolution, calm night mood, Japanese temple path, lantern light, minimal composition, subtle watercolor texture, clean lineart, soft shading, left 35% empty space for text, top 15% and bottom 25% clean background, no text, no logo, no watermark. SCENE: Rainy night road near temple, umbrella silhouette, minimal, empty left space. NEGATIVE: text, logo, watermark, signature, speech bubble, lowres, blur, noise.",左35%を余白（文字エリア）。上15%/下25%は重要物なし。上段: Noto Sans JP Black／下段: BIZ UDPゴシック Bold。白文字＋黒影。,,"導入: 雨の夜道の空気で今夜の物語を始める。
物語: ゆっくり進行→場面の区切りを作りながら語る。
余韻: 受容を一言だけ添える（押しつけない）。
今夜の一手: 『今日はここまで』と言う
締め: 静かにおやすみへ。",,親鸞の雨の宿｜弱さを抱える物語,workspaces/scripts/CH18/008/content/assembled.md,,,,不安,自己否定,雨の夜道,受容,やわらぐ,雨音,眠れない夜に、静かな旅の物語を。,・伝説の背景をやさしく<br>・今夜の受け取り方
9,CH18,009,CH18-009,CH18-009,法然の灯明｜迷いの夜に残る光,topic_research: pending,,workspaces/scripts/CH18/009/content/assembled.md,未完了,,2025-12-23 23:43:33,灯明,迷いがほどける,,寺の伝説を旅の物語として静かに語る夜話。 「灯明」を入口に、安心する方向へ静かに運びます。最後は 灯りを一つ想像する を一手だけ残して、安心で終えます。,20〜60代中心。お寺の由来や伝説を聞きながら、静かに寝落ちしたい人。,"導入: 本堂の灯りの空気で今夜の物語を始める。
物語: ゆっくり進行→場面の区切りを作りながら語る。
余韻: 光を一言だけ添える（押しつけない）。
今夜の一手: 灯りを一つ想像する
締め: 静かにおやすみへ。",,,,,,,,灯明 迷いがほどける,"16:9, high resolution, calm night mood, Japanese temple path, lantern light, minimal composition, subtle watercolor texture, clean lineart, soft shading, left 35% empty space for text, top 15% and bottom 25% clean background, no text, no logo, no watermark. SCENE: Temple hall, single lantern light, warm, minimal, empty left space. NEGATIVE: text, logo, watermark, signature, speech bubble, lowres, blur, noise.",左35%を余白（文字エリア）。上15%/下25%は重要物なし。上段: Noto Sans JP Black／下段: BIZ UDPゴシック Bold。白文字＋黒影。,,"導入: 本堂の灯りの空気で今夜の物語を始める。
物語: ゆっくり進行→場面の区切りを作りながら語る。
余韻: 光を一言だけ添える（押しつけない）。
今夜の一手: 灯りを一つ想像する
締め: 静かにおやすみへ。",,法然の灯明｜迷いの夜に残る光,workspaces/scripts/CH18/009/content/assembled.md,,,,不安,迷い,本堂の灯り,光,安心する,灯明,眠れない夜に、静かな旅の物語を。,・伝説の背景をやさしく<br>・今夜の受け取り方
10,CH18,010,CH18-010,CH18-010,達磨の雪の夜｜目を閉じる前の一言,topic_research: pending,,workspaces/scripts/CH18/010/content/assembled.md,未完了,,2025-12-23 23:43:33,雪の夜,一言で眠る,,寺の伝説を旅の物語として静かに語る夜話。 「雪の夜」を入口に、落ち着く方向へ静かに運びます。最後は 息を長く吐く を一手だけ残して、安心で終えます。,20〜60代中心。お寺の由来や伝説を聞きながら、静かに寝落ちしたい人。,"導入: 雪の庭の空気で今夜の物語を始める。
物語: ゆっくり進行→場面の区切りを作りながら語る。
余韻: 一言を一言だけ添える（押しつけない）。
今夜の一手: 息を長く吐く
締め: 静かにおやすみへ。",,,,,,,,雪の夜 一言で眠る,"16:9, high resolution, calm night mood, Japanese temple path, lantern light, minimal composition, subtle watercolor texture, clean lineart, soft shading, left 35% empty space for text, top 15% and bottom 25% clean background, no text, no logo, no watermark. SCENE: Snowy Zen garden at night, minimal, empty left space. NEGATIVE: text, logo, watermark, signature, speech bubble, lowres, blur, noise.",左35%を余白（文字エリア）。上15%/下25%は重要物なし。上段: Noto Sans JP Black／下段: BIZ UDPゴシック Bold。白文字＋黒影。,,"導入: 雪の庭の空気で今夜の物語を始める。
物語: ゆっくり進行→場面の区切りを作りながら語る。
余韻: 一言を一言だけ添える（押しつけない）。
今夜の一手: 息を長く吐く
締め: 静かにおやすみへ。",,達磨の雪の夜｜目を閉じる前の一言,workspaces/scripts/CH18/010/content/assembled.md,,,,不安,眠れない,雪の庭,一言,落ち着く,雪,眠れない夜に、静かな旅の物語を。,・伝説の背景をやさしく<br>・今夜の受け取り方
