No.,チャンネル,動画番号,動画ID,YouTubeID,タイトル,台本,台本番号,作成フラグ,進捗,品質チェック結果,文字数,サムネタイトル,AI向け画像生成プロンプト (背景用),テキスト配置・デザイン指示 (人間/ツール向け),サムネ用DALL-Eプロンプト（URL・テキスト指示込み）,企画意図,ターゲット層,具体的な内容（話の構成案）,更新日時,音声整形,音声検証,音声生成,音声品質,DALL-Eプロンプト（URL・テキスト指示込み）,台本パス,悩みタグ_メイン,悩みタグ_サブ,ライフシーン,キーコンセプト,ベネフィット一言,たとえ話イメージ,説明文_リード,説明文_この動画でわかること,台本型,史実エピソード候補
1,CH32,1,CH32-001,,正直者がバカを見ない生き方。尽くすほど雑に扱われる「優しすぎる人」への最終通告,workspaces/scripts/CH32/001/content/assembled.md,CH01-255,,script_validated,,7476,尽くすな、守れ,,,https://www.youtube.com/@himitu-o4p https://www.youtube.com/@shaka__namu YouTubeサムネイル画像。両手から砂がこぼれ落ちる。必死に握るほど失われる象徴。右に人物、左は暗い余白。 文字は一切入れないでください。インパクト強く、水彩画と油絵を混ぜたような感じ。,上位テーマ「与えても報われない」を、境界線の欠如として整理する。慈悲=自己犠牲ではないと再定義し、尽くし癖をほどく。,他人の目や言葉に振り回されがちな40〜60代。真面目で優しいがゆえに、人間関係・老後・お金・孤独の不安を抱え、仏教の整理術で心を軽くしたいと願っている人。,【導入】尽くしても感謝されない痛み。 【物語】家族/介護/職場で“当たり前”にされる。 【共通点】境界線なし・期待・罪悪感。 【実践】断る/頼む/距離の3手順。 【締め】慈悲はまず自分に向ける。,2026-01-26 08:49:10,,,,,,workspaces/scripts/CH32/001/content/assembled.md,人間関係,罪悪感,家庭,慈悲,尽くしすぎを止め、自分を守れる,握るほどこぼれる砂,【人間関係】で苦しいあなたへ──尽くし癖をほどく話。,"・尽くすほど雑に扱われる理由
・境界線の作り方",kata1,経典: 善生経（Sigalovada）。人間関係は相互の務めで支え合う—一方的に尽くす関係は境界線を整える対象。
2,CH32,2,CH32-002,,【ブッダの教え】老後は友達を減らしなさい。それが最強の選択です,workspaces/scripts/CH32/002/content/assembled.md,CH01-256,,script_validated,,7670,友達、減らせ,,,https://www.youtube.com/@himitu-o4p https://www.youtube.com/@shaka__namu YouTubeサムネイル画像。紅葉の公園ベンチに一人。静かな温かい光。孤独ではなく満ち足りた表情。 文字は一切入れないでください。インパクト強く、水彩画と油絵を混ぜたような感じ。,老後不安の入口で「友達=多いほど良い」という呪いを外す。縁起の視点で“残す縁/手放す縁”の基準を渡す。,他人の目や言葉に振り回されがちな40〜60代。真面目で優しいがゆえに、人間関係・老後・お金・孤独の不安を抱え、仏教の整理術で心を軽くしたいと願っている人。,【導入】友達が減る焦り。 【物語】退職後の集まりで疲れる主人公。 【解説】縁起と人間関係の自然淘汰。 【実践】残す人/離れる人の基準3つ。 【締め】少数の縁で心は満ちる。,2026-01-26 08:49:10,,,,,,workspaces/scripts/CH32/002/content/assembled.md,老後,友人,退職後 / 地域,縁起,友人関係の不安が減り、楽になる,葉が自然に落ちる,【老後】で苦しいあなたへ──友達を減らして心を守る話。,"・60代から友達を減らす理由
・残す縁の基準",kata2,史実: 吉田兼好（徒然草）。世俗から距離を取り、静けさを尊ぶ生き方を記したとされる—縁は“増やす”より“選び直す”。
3,CH32,3,CH32-003,,【ブッダの警鐘】親の期待で人生が壊れます。「いい子」をやめられない人の苦しみ,workspaces/scripts/CH32/003/content/assembled.md,CH01-257,,script_validated,,7644,親の期待で\\nいい子\\n人生崩壊,,,https://www.youtube.com/@himitu-o4p https://www.youtube.com/@shaka__namu YouTubeサムネイル画像。首から鎖が外れて落ちる瞬間。静かな決意の表情。金の光が差す。 文字は一切入れないでください。インパクト強く、水彩画と油絵を混ぜたような感じ。,親の期待に縛られる視聴者へ、執着=苦しみの根として提示する。罪悪感を煽らず、尊厳を守る“距離の取り方”を渡す。,他人の目や言葉に振り回されがちな40〜60代。真面目で優しいがゆえに、人間関係・老後・お金・孤独の不安を抱え、仏教の整理術で心を軽くしたいと願っている人。,【導入】親の期待が重い苦しさ。 【物語】「いい子」で生きる主人公が限界を迎える。 【仏教】執着は苦。 【実践】罪悪感を減らす一言＋距離の取り方。 【締め】あなたの人生はあなたのもの。,2026-01-26 08:49:10,,,,,,workspaces/scripts/CH32/003/content/assembled.md,人間関係,親子,家庭,親の期待,親の期待に振り回されなくなる,鎖を外す,【人間関係】で苦しいあなたへ──親の期待から自由になる話。,"・「いい子」の呪いの正体
・罪悪感を減らす距離感",kata2,経典伝承: 王子シッダールタの父・浄飯王が出家を恐れ、外の苦しみから遠ざけたとされる（諸説）。最終的に本人は道を選んだ。
4,CH32,4,CH32-004,,【完全論破】マウントを取る人が一番嫌がること。自慢する人は最後に孤独になります,workspaces/scripts/CH32/004/content/assembled.md,CH01-258,,script_validated,,7546,自慢は、毒,,,https://www.youtube.com/@himitu-o4p https://www.youtube.com/@shaka__namu YouTubeサムネイル画像。高い塔の上で一人きりの人物。下には遠い群衆の影。栄光より孤独が強い。 文字は一切入れないでください。インパクト強く、水彩画と油絵を混ぜたような感じ。,マウント会話の“疲れ”を、慢（プライド）と不安の裏返しとして解体する。巻き込まれない距離と返しで、視聴者を守る。,他人の目や言葉に振り回されがちな40〜60代。真面目で優しいがゆえに、人間関係・老後・お金・孤独の不安を抱え、仏教の整理術で心を軽くしたいと願っている人。,【導入】自慢話に疲れる共感。 【物語】場を支配するマウント会話。 【解説】慢=自信ではなく不安。 【実践】巻き込まれない距離と返し3つ。 【締め】静かに離れるのが一番の勝ち。,2026-01-26 08:49:10,,,,,,workspaces/scripts/CH32/004/content/assembled.md,人間関係,嫉妬,職場 / 地域,慢,マウンティングに消耗しなくなる,高い塔ほど風が冷たい,【人間関係】で苦しいあなたへ──マウンティングから身を守る話。,"・自慢が止まらない心理
・巻き込まれない返し方",kata3,経典伝承: 提婆達多が慢心から教団主導を求め、分裂を企てたとされる—優越感の執着は信頼を削り孤立を招く。
5,CH32,5,CH32-005,,【静かに勝つ一言】見下された瞬間に心が折れない返し方。使える「言葉」3選,workspaces/scripts/CH32/005/content/assembled.md,CH01-259,,script_validated,,5841,その場で、返せ,,,https://www.youtube.com/@himitu-o4p https://www.youtube.com/@shaka__namu YouTubeサムネイル画像。言葉の刃が飛んでくるが、光の盾で静かに受け止める人物。 文字は一切入れないでください。インパクト強く、水彩画と油絵を混ぜたような感じ。,“見下し”の痛みに直結する返しを3つに絞って提供する。忍辱を「我慢」ではなく「尊厳を守る態度」として体に落とす。,他人の目や言葉に振り回されがちな40〜60代。真面目で優しいがゆえに、人間関係・老後・お金・孤独の不安を抱え、仏教の整理術で心を軽くしたいと願っている人。,【導入】見下しの一言で夜眠れない共感。 【物語】場が凍る瞬間。 【返し3選】柔らかい/事実/線引きの型。 【仏教】忍辱=受け身ではない。 【締め】黙らせるより、あなたを守る。,2026-01-26 08:49:10,,,,,,workspaces/scripts/CH32/005/content/assembled.md,人間関係,見下し,職場,忍辱,失礼な人に飲まれなくなる,光の盾,【人間関係】で苦しいあなたへ──尊厳を守る返し方。,"・返しの一言3パターン
・場を荒らさず線を引く方法",kata3,経典伝承: ブッダが侮辱を受けた際「受け取らない贈り物」に例え、反応を手放したとされる。言い返さず“受け取らない”型。
6,CH32,6,CH32-006,,【警告】完璧主義は心を壊します。自信がない人ほど自分を追い詰める理由,workspaces/scripts/CH32/006/content/assembled.md,CH01-260,,script_validated,,4054,完璧は、地獄,,,https://www.youtube.com/@himitu-o4p https://www.youtube.com/@shaka__namu YouTubeサムネイル画像。ひび割れた鏡を見つめる人物。割れ目から金の光が差す。 文字は一切入れないでください。インパクト強く、水彩画と油絵を混ぜたような感じ。,完璧主義を“努力”ではなく“不安の鎧”として見せる。中道（極端を避ける）で、力を抜いて前に進む感覚を渡す。,他人の目や言葉に振り回されがちな40〜60代。真面目で優しいがゆえに、人間関係・老後・お金・孤独の不安を抱え、仏教の整理術で心を軽くしたいと願っている人。,【導入】小さなミスで自分を責める共感。 【物語】完璧を求めて壊れる主人公。 【解説】完璧主義=不安の鎧。 【実践】中道の3ルール（減らす/任せる/止める）。 【締め】少しでいい、続ければ変わる。,2026-01-26 08:49:10,,,,,,workspaces/scripts/CH32/006/content/assembled.md,自己肯定感,不安,ひとりの夜,中道,自分責めが減り、心が軽くなる,割れた鏡,【自己肯定感】で苦しいあなたへ──完璧を手放す話。,"・完璧主義の正体
・力を抜く3ルール",kata3,経典伝承: シッダールタが苦行を極めて衰弱し、中道へ転じたとされる—「もっと完璧に」のやりすぎが心身を壊す例。
7,CH32,7,CH32-007,,小さな「ありがとう」が人生を変える理由｜幸せな人がやっているたった一つの習慣,workspaces/scripts/CH32/007/content/assembled.md,CH01-261,,script_validated,,4406,脳が変わる、感謝,,,https://www.youtube.com/@himitu-o4p https://www.youtube.com/@shaka__namu YouTubeサムネイル画像。暗い部屋に小さな灯火（ろうそく）。灯りの周りに金の粒が舞う。 文字は一切入れないでください。インパクト強く、水彩画と油絵を混ぜたような感じ。,「感謝」は綺麗事で終わらせず、注意の向きが変わる“科学”として説明する。知足（足るを知る）と繋げ、習慣として定着させる。,他人の目や言葉に振り回されがちな40〜60代。真面目で優しいがゆえに、人間関係・老後・お金・孤独の不安を抱え、仏教の整理術で心を軽くしたいと願っている人。,【導入】不満で心が荒れる日々。 【ミニストーリー】感謝を学ぶ逸話。 【科学】感謝で注意が変わる。 【実践】1日3回のありがとう＋短い記録。 【締め】小さな光が積もる。,2026-01-26 08:49:10,,,,,,workspaces/scripts/CH32/007/content/assembled.md,自己肯定感,感謝,朝 / 夜,感謝習慣,心が落ち着き、満たされやすくなる,小さな灯火,【自己肯定感】で苦しいあなたへ──感謝を習慣にする話。,"・感謝で脳が変わる理由
・今日からできる習慣",kata2,経典伝承: 盂蘭盆（目連が母の恩に報いようとした物語）の由来とされる話—感謝が具体的な行動になる例。
8,CH32,8,CH32-008,,妬まれたら勝ちです。嫉妬された時に絶対にやってはいけない3つ｜ブッダの教え,workspaces/scripts/CH32/008/content/assembled.md,CH01-262,,script_validated,,4211,妬まれたら、勝ち,,,https://www.youtube.com/@himitu-o4p https://www.youtube.com/@shaka__namu YouTubeサムネイル画像。スポットライトを浴びる人物と、影で歯ぎしりする群衆の影。 文字は一切入れないでください。インパクト強く、水彩画と油絵を混ぜたような感じ。,嫉妬を“税金”として捉え直し、行動を止めないためのNG行動3つを提示する。無我の視点で、淡々と続ける強さを渡す。,他人の目や言葉に振り回されがちな40〜60代。真面目で優しいがゆえに、人間関係・老後・お金・孤独の不安を抱え、仏教の整理術で心を軽くしたいと願っている人。,【導入】妬まれるのが怖くて引っ込む苦しさ。 【物語】陰で言われる場面。 【NG3つ】謝りすぎ/媚び/言い訳。 【実践】淡々と続ける一言と距離。 【締め】影が濃いのは光が強い証拠。,2026-01-26 08:49:10,,,,,,workspaces/scripts/CH32/008/content/assembled.md,人間関係,嫉妬,職場 / 友人,無我,妬みを恐れず前に進める,光と影,【人間関係】で苦しいあなたへ──嫉妬に足を引っ張られない話。,"・嫉妬された時のNG3つ
・淡々と続ける強さ",kata3,史実: 源義経が功績で注目を集めた後、頼朝に警戒され追討を受けた（原因は複合/諸説）—嫉妬されても煽らない距離感の対比に。
9,CH32,9,CH32-009,,【絶対に関わるな】あなたの時間を奪う人の特徴7つ。人生が静かに壊れます,workspaces/scripts/CH32/009/content/assembled.md,CH01-263,,script_validated,,4311,時間を、奪うな,,,https://www.youtube.com/@himitu-o4p https://www.youtube.com/@shaka__namu YouTubeサムネイル画像。砂時計の砂が誰かの手でこっそり奪われていく。 文字は一切入れないでください。インパクト強く、水彩画と油絵を混ぜたような感じ。,「時間を奪われる」痛みを7特徴で言語化し、断り方と枠の作り方に落とす。時間=命（無常）として扱い、罪悪感なく線を引かせる。,他人の目や言葉に振り回されがちな40〜60代。真面目で優しいがゆえに、人間関係・老後・お金・孤独の不安を抱え、仏教の整理術で心を軽くしたいと願っている人。,【導入】気づくと時間が消える恐怖。 【物語】終わらない相談/長電話。 【特徴7つ】今だけ/謝らない/終わらない等。 【対処】時間枠/返信ルール/会う頻度。 【締め】時間は命、守っていい。,2026-01-26 08:49:10,,,,,,workspaces/scripts/CH32/009/content/assembled.md,人間関係,時間,日常,無常,時間を守り、心が消耗しにくくなる,砂時計,【人間関係】で苦しいあなたへ──時間を守る話。,"・時間泥棒の特徴7つ
・線の引き方",kata3,経典伝承: アーナンダがブッダの侍者として教えの聴聞/伝承を支えたとされる—「相手の時間を尊重する」対比に使える。
10,CH32,10,CH32-010,,貧乏神に取り憑かれます。老後のお金不安が消えない人が捨てられない「最悪の習慣」,workspaces/scripts/CH32/010/content/assembled.md,CH01-264,,script_validated,,4012,足るを、知れ,,,https://www.youtube.com/@himitu-o4p https://www.youtube.com/@shaka__namu YouTubeサムネイル画像。質素な茶碗と温かい湯気。豪華さではなく落ち着きがある。 文字は一切入れないでください。インパクト強く、水彩画と油絵を混ぜたような感じ。,老後不安の根にある「足りない」感覚を、知足で整える。数字の話に寄りすぎず、“安心の基準”を作らせる。,他人の目や言葉に振り回されがちな40〜60代。真面目で優しいがゆえに、人間関係・老後・お金・孤独の不安を抱え、仏教の整理術で心を軽くしたいと願っている人。,【導入】通帳を見て不安になる夜。 【物語】焦りで人に当たる主人公。 【仏教】知足（足るを知る）。 【実践】足る基準3つ（固定費/健康/人間関係）。 【締め】心が荒まない暮らしへ。,2026-01-26 08:49:10,,,,,,workspaces/scripts/CH32/010/content/assembled.md,お金,老後,退職後,老後のお金不安,お金不安が和らぎ、心が安定する,湯気の立つ茶碗,【お金】で苦しいあなたへ──老後不安を静める話。,"・老後の不安が荒みになる理由
・足る基準の作り方",kata3,史実: 石田梅岩（心学）。倹約と正直を説き、足るを知る生き方を広めた—不安を煽る浪費習慣との対比に。
